state,current_week_mean,current_week_per_million,last_week_mean,last_week_mean_2,last_week_per_million,last_week_cases_per_million,last_week_cases_mean_2,last_week_cases_mean,current_week_cases_mean,current_week_cases_per_million,p_value_cases_current_last,p_value_cases_last_last2,p_value_death_current_last,p_value_death_last_last2,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million
Georgia,27.571428571428573,2.6,32.57142857142857,27.0,3.1,61.2,556.8571428571429,649.5714285714286,627.7142857142857,59.1,0.507,0.497,0.344,0.28300000000000003,42713,1904,4022.915918486058,179.32788398842166
Guam,0.0,,0.0,0.0,,,0.42857142857142855,1.8571428571428572,1.0,,0.492,0.579,1.0,1.0,1140,6,,
Hawaii,0.0,0.0,0.0,0.0,0.0,1.0,1.1428571428571428,1.4285714285714286,0.0,0.0,0.538,0.527,1.0,1.0,634,17,447.7805903358496,12.006735072096912
Idaho,0.7142857142857143,0.4,0.7142857142857143,0.7142857142857143,0.4,14.5,24.857142857142858,26.0,33.714285714285715,18.9,0.486,0.494,0.579,0.602,2731,82,1528.2040664441417,45.885292364855225
Illinois,84.42857142857143,6.7,98.42857142857143,115.14285714285714,7.8,168.1,2468.4285714285716,2130.5714285714284,1876.142857142857,148.1,0.476,0.472,0.28400000000000003,0.32899999999999996,114612,5118,9044.635336941708,403.88828093452395
Indiana,22.142857142857142,3.3,38.142857142857146,33.142857142857146,5.7,85.9,526.4285714285714,578.0,458.85714285714283,68.2,0.404,0.41100000000000003,0.03700000000000003,0.0,33242,2030,4937.747865896817,301.5350510730563
Iowa,13.714285714285714,4.3,13.714285714285714,12.428571428571429,4.3,113.0,373.7142857142857,356.42857142857144,357.42857142857144,113.3,0.501,0.505,0.487,0.498,18446,496,5846.462994481897,157.2072885863071
Kansas,1.4285714285714286,0.5,2.5714285714285716,2.4285714285714284,0.9,54.1,204.0,157.57142857142858,105.85714285714286,36.3,0.5,0.46299999999999997,0.14500000000000002,0.08299999999999996,9453,207,3244.758374826744,71.05310309839585
Kentucky,4.428571428571429,1.0,7.428571428571429,5.571428571428571,1.7,34.5,174.85714285714286,154.0,147.85714285714286,33.1,0.45199999999999996,0.486,0.14900000000000002,0.11499999999999999,9313,420,2084.530358421487,94.00867073306395
Louisiana,15.857142857142858,3.4,30.285714285714285,29.857142857142858,6.5,94.4,404.2857142857143,438.85714285714283,325.7142857142857,70.1,0.48,0.44799999999999995,0.05700000000000005,0.015000000000000013,38694,2722,8323.44904936635,585.5282036588414
Maine,1.5714285714285714,1.2,0.5714285714285714,1.0,0.4,33.2,33.57142857142857,44.57142857142857,44.57142857142857,33.2,0.45799999999999996,0.44299999999999995,0.06399999999999995,0.031000000000000028,2137,81,1589.7789931945258,60.258352105173884
Maryland,38.42857142857143,6.4,41.857142857142854,51.857142857142854,6.9,180.2,935.0,1089.142857142857,955.5714285714286,158.1,0.503,0.479,0.29500000000000004,0.34199999999999997,49042,2392,8111.908007039738,395.65441769991133
Massachusetts,70.28571428571429,10.2,95.14285714285714,132.85714285714286,13.8,163.8,1208.7142857142858,1128.857142857143,687.2857142857143,99.7,0.44099999999999995,0.44399999999999995,0.018000000000000016,0.15200000000000002,94220,6547,13669.925134599143,949.8726369796285
Michigan,34.714285714285715,3.5,48.857142857142854,63.42857142857143,4.9,56.9,549.4285714285714,568.4285714285714,353.7142857142857,35.4,0.45799999999999996,0.481,0.17000000000000004,0.261,55544,5334,5561.709755131169,534.1019702194594
Minnesota,22.714285714285715,4.0,20.857142857142858,23.428571428571427,3.7,120.7,582.7142857142857,680.8571428571429,678.2857142857143,120.3,0.488,0.49,0.353,0.353,22474,942,3985.011788003189,167.03217514901684
Mississippi,16.142857142857142,5.4,14.285714285714286,12.0,4.8,83.5,256.7142857142857,248.42857142857142,307.14285714285717,103.2,0.481,0.488,0.272,0.254,14044,670,4718.849761890281,225.12313731604164
Missouri,6.428571428571429,1.0,15.142857142857142,16.428571428571427,2.5,27.2,154.42857142857142,166.71428571428572,165.42857142857142,27.0,0.392,0.34299999999999997,0.0020000000000000018,0.008000000000000007,12624,705,2056.88767346843,114.8689646542493
Montana,0.14285714285714285,0.1,0.0,0.0,0.0,2.3,0.8571428571428571,2.4285714285714284,0.8571428571428571,0.8,0.489,0.43799999999999994,0.511,0.503,481,17,450.04668883528666,15.906016029521565
Nebraska,3.142857142857143,1.6,4.428571428571429,3.7142857142857144,2.3,148.7,317.2857142857143,287.57142857142856,262.42857142857144,135.7,0.488,0.487,0.18400000000000005,0.20199999999999996,12976,168,6707.9954177195295,86.84827606172017
Nevada,4.142857142857143,1.3,6.0,6.571428571428571,1.9,37.0,106.57142857142857,114.0,120.71428571428571,39.2,0.49,0.472,0.22599999999999998,0.16300000000000003,8150,402,2645.969879447664,130.5128701273572
New Hampshire,4.714285714285714,3.5,6.857142857142857,5.285714285714286,5.0,58.1,77.0,79.0,64.85714285714286,47.7,0.477,0.406,0.19399999999999995,0.136,4286,223,3152.1404180741347,164.0054393911647
New Jersey,79.71428571428571,9.0,128.14285714285714,163.57142857142858,14.4,141.0,1295.5714285714287,1252.5714285714287,906.1428571428571,102.0,0.401,0.42600000000000005,0.049000000000000044,0.10499999999999998,156628,11339,17633.939377563416,1276.5995773564853
New Mexico,5.857142857142857,2.8,7.428571428571429,10.0,3.5,66.0,144.42857142857142,138.42857142857142,127.42857142857143,60.8,0.46799999999999997,0.481,0.14800000000000002,0.122,7252,329,3458.555752519638,156.90359108921137
New York,110.71428571428571,5.7,149.42857142857142,201.57142857142858,7.7,96.4,2180.1428571428573,1874.4285714285713,1463.7142857142858,75.2,0.43600000000000005,0.46499999999999997,0.03300000000000003,0.09899999999999998,369801,29339,19009.424547001963,1508.1557561620723
North Carolina,18.0,1.7,14.428571428571429,15.857142857142858,1.4,58.9,451.7142857142857,617.4285714285714,671.5714285714286,64.0,0.498,0.486,0.279,0.249,24787,827,2363.3487298538034,78.85138982487173
North Dakota,1.2857142857142858,1.7,1.5714285714285714,1.2857142857142858,2.1,96.9,48.714285714285715,73.85714285714286,36.42857142857143,47.8,0.495,0.482,0.43500000000000005,0.45299999999999996,2442,59,3204.4636788082857,77.42152213336972
Northern Mariana Islands,0.0,,0.0,0.0,,,0.5714285714285714,0.42857142857142855,0.0,,0.484,0.497,1.0,1.0,22,2,,
