date,state,county,cases,rank
2020-03-08,Pennsylvania,Montgomery,18,2
2020-03-08,Pennsylvania,Philadelphia,3,1
2020-03-08,Rhode Island,other,17,100
2020-03-08,South Dakota,other,0,100
2020-03-08,South Dakota,Minnehaha,2,1
2020-03-08,Massachusetts,other,8,100
2020-03-08,Massachusetts,Essex,4,3
2020-03-08,Massachusetts,Middlesex,60,1
2020-03-08,Massachusetts,other,25,5
2020-03-08,Massachusetts,Suffolk,23,2
2020-03-08,Massachusetts,other,1,4
2020-03-08,New Hampshire,other,0,100
2020-03-08,New Hampshire,Rockingham,3,2
2020-03-08,North Carolina,other,1,100
2020-03-08,North Carolina,Wake,10,2
2020-03-08,North Carolina,other,0,6
2020-03-08,North Carolina,other,0,4
2020-03-08,North Carolina,Mecklenburg,0,1
2020-03-08,South Carolina,other,11,100
2020-03-08,South Carolina,other,0,6
2020-03-08,South Carolina,other,0,5
2020-03-08,District of Columbia,District of Columbia,15,1
2020-03-15,Guam,Unknown,12,1
2020-03-15,Iowa,other,24,100
2020-03-15,Iowa,Black Hawk,2,3
2020-03-15,Iowa,Polk,9,1
2020-03-15,Ohio,other,56,100
2020-03-15,Ohio,Cuyahoga,81,2
2020-03-15,Ohio,Franklin,20,1
2020-03-15,Ohio,Hamilton,6,3
2020-03-15,Ohio,other,3,5
2020-03-15,Ohio,other,13,8
2020-03-15,Ohio,other,0,4
2020-03-15,Ohio,other,13,7
2020-03-15,Utah,other,60,100
2020-03-15,Utah,Salt Lake,45,1
2020-03-15,Utah,Utah,6,2
2020-03-15,Idaho,Ada,9,1
2020-03-15,Idaho,other,2,100
2020-03-15,Idaho,Blaine,19,2
2020-03-15,Idaho,other,0,4
2020-03-15,Idaho,Twin Falls,0,3
2020-03-15,Maine,other,12,100
2020-03-15,Maine,Androscoggin,2,3
2020-03-15,Maine,Cumberland,39,1
2020-03-15,Maine,York,7,2
2020-03-15,Texas,other,152,100
2020-03-15,Texas,other,5,6
2020-03-15,Texas,Tarrant,43,3
2020-03-15,Texas,other,58,4
2020-03-15,Texas,Harris,57,1
2020-03-15,Texas,other,38,5
2020-03-15,Texas,Dallas,84,2
2020-03-15,Alaska,Fairbanks North Star Borough,5,3
2020-03-15,Alaska,Kenai Peninsula Borough,2,2
2020-03-15,Alaska,other,5,100
2020-03-15,Alaska,Anchorage,4,1
2020-03-15,Hawaii,other,3,100
2020-03-15,Hawaii,Honolulu,33,1
2020-03-15,Hawaii,Maui,6,2
2020-03-15,Kansas,other,3,100
2020-03-15,Kansas,Ford,0,1
2020-03-15,Kansas,other,20,5
2020-03-15,Kansas,other,2,4
2020-03-15,Kansas,other,1,7
2020-03-15,Kansas,Wyandotte,12,2
2020-03-15,Nevada,Clark,110,1
2020-03-15,Nevada,other,3,100
2020-03-15,Nevada,Washoe,18,2
2020-03-15,Oregon,other,21,100
2020-03-15,Oregon,other,10,4
2020-03-15,Oregon,Marion,17,2
2020-03-15,Oregon,Multnomah,17,1
2020-03-15,Oregon,Washington,29,3
2020-03-15,Alabama,other,16,100
2020-03-15,Alabama,Jefferson,55,3
2020-03-15,Alabama,other,11,7
2020-03-15,Alabama,Mobile,1,2
2020-03-15,Alabama,Montgomery,2,1
2020-03-15,Alabama,other,14,8
2020-03-15,Alabama,other,4,4
2020-03-15,Alabama,other,0,10
2020-03-15,Arizona,other,28,100
2020-03-15,Arizona,Maricopa,45,1
2020-03-15,Arizona,Pima,10,2
2020-03-15,Florida,other,315,100
2020-03-15,Florida,Miami-Dade,162,1
2020-03-15,Florida,Palm Beach,51,3
2020-03-15,Florida,Broward,143,2
2020-03-15,Georgia,other,21,7
2020-03-15,Georgia,other,148,100
2020-03-15,Georgia,other,10,8
2020-03-15,Georgia,other,41,4
2020-03-15,Georgia,DeKalb,34,3
2020-03-15,Georgia,other,41,6
2020-03-15,Georgia,Fulton,87,2
2020-03-15,Georgia,Gwinnett,21,1
2020-03-15,Georgia,other,8,5
2020-03-15,Indiana,other,36,100
2020-03-15,Indiana,Allen,3,3
2020-03-15,Indiana,Lake,5,2
2020-03-15,Indiana,Marion,44,1
2020-03-15,Montana,other,2,100
2020-03-15,Montana,other,1,5
2020-03-15,Montana,Gallatin,6,1
2020-03-15,Montana,other,2,4
2020-03-15,Montana,Yellowstone,4,2
2020-03-15,Vermont,other,16,100
2020-03-15,Vermont,Chittenden,21,1
2020-03-15,Wyoming,other,2,100
2020-03-15,Wyoming,Fremont,8,1
2020-03-15,Wyoming,Laramie,3,2
2020-03-15,Wyoming,other,0,4
2020-03-15,Wyoming,Teton,1,3
2020-03-15,Arkansas,other,27,100
2020-03-15,Arkansas,other,0,9
2020-03-15,Arkansas,Washington,0,1
2020-03-15,Arkansas,Benton,0,2
2020-03-15,Arkansas,other,0,8
2020-03-15,Arkansas,other,17,6
2020-03-15,Arkansas,other,0,4
2020-03-15,Arkansas,Pulaski,21,3
2020-03-15,Colorado,Adams,8,3
2020-03-15,Colorado,Arapahoe,30,2
2020-03-15,Colorado,other,157,100
2020-03-15,Colorado,Denver,75,1
2020-03-15,Colorado,other,34,6
2020-03-15,Colorado,other,34,5
2020-03-15,Colorado,other,19,4
2020-03-15,Delaware,Kent,2,3
2020-03-15,Delaware,New Castle,28,2
2020-03-15,Delaware,Sussex,7,1
2020-03-15,Illinois,other,167,100
2020-03-15,Illinois,Cook,497,1
2020-03-15,Kentucky,other,13,100
2020-03-15,Kentucky,Fayette,8,3
2020-03-15,Kentucky,Jefferson,21,1
2020-03-15,Kentucky,other,2,4
2020-03-15,Kentucky,Warren,3,2
2020-03-15,Maryland,other,14,4
2020-03-15,Maryland,other,15,5
2020-03-15,Maryland,Baltimore,16,3
2020-03-15,Maryland,other,28,100
2020-03-15,Maryland,Montgomery,56,2
2020-03-15,Maryland,Prince George's,29,1
2020-03-15,Michigan,other,56,100
2020-03-15,Michigan,Oakland,220,2
2020-03-15,Michigan,Wayne,341,1
2020-03-15,Michigan,other,18,4
