date,state,county,deaths,rank
2020-03-08,District of Columbia,District of Columbia,0,1
2020-03-15,Guam,Unknown,0,1
2020-03-15,Iowa,other,0,100
2020-03-15,Iowa,Black Hawk,0,3
2020-03-15,Iowa,other,0,4
2020-03-15,Iowa,Polk,0,1
2020-03-15,Ohio,other,0,100
2020-03-15,Ohio,other,0,10
2020-03-15,Ohio,Cuyahoga,1,3
2020-03-15,Ohio,Franklin,0,1
2020-03-15,Ohio,other,0,6
2020-03-15,Ohio,other,0,8
2020-03-15,Ohio,Lucas,1,2
2020-03-15,Ohio,other,0,4
2020-03-15,Ohio,other,0,7
2020-03-15,Ohio,other,0,5
2020-03-15,Utah,other,0,100
2020-03-15,Utah,Salt Lake,0,1
2020-03-15,Idaho,Ada,0,1
2020-03-15,Idaho,other,0,100
2020-03-15,Idaho,other,0,5
2020-03-15,Idaho,other,0,4
2020-03-15,Idaho,Twin Falls,0,1
2020-03-15,Maine,other,0,100
2020-03-15,Maine,Cumberland,0,1
2020-03-15,Maine,Kennebec,0,3
2020-03-15,Maine,York,0,3
2020-03-15,Texas,other,1,100
2020-03-15,Texas,other,0,6
2020-03-15,Texas,Tarrant,1,3
2020-03-15,Texas,other,0,4
2020-03-15,Texas,Harris,1,1
2020-03-15,Texas,other,0,5
2020-03-15,Texas,other,0,7
2020-03-15,Texas,Dallas,1,2
2020-03-15,Alaska,Fairbanks North Star Borough,0,2
2020-03-15,Alaska,Kenai Peninsula Borough,0,3
2020-03-15,Alaska,other,0,100
2020-03-15,Alaska,Anchorage,0,1
2020-03-15,Hawaii,other,0,100
2020-03-15,Hawaii,Honolulu,0,1
2020-03-15,Hawaii,Maui,0,2
2020-03-15,Kansas,other,0,100
2020-03-15,Kansas,Johnson,1,2
2020-03-15,Kansas,Sedgwick,0,3
2020-03-15,Kansas,Wyandotte,0,1
2020-03-15,Nevada,Clark,2,1
2020-03-15,Nevada,other,0,100
2020-03-15,Oregon,other,0,100
2020-03-15,Oregon,Marion,1,2
2020-03-15,Oregon,Multnomah,0,1
2020-03-15,Oregon,Washington,1,3
2020-03-15,Alabama,other,0,100
2020-03-15,Alabama,Jefferson,0,2
2020-03-15,Alabama,other,0,5
2020-03-15,Alabama,Mobile,0,1
2020-03-15,Alabama,other,0,4
2020-03-15,Alabama,other,0,6
2020-03-15,Arizona,other,0,100
2020-03-15,Arizona,Maricopa,1,1
2020-03-15,Arizona,Pima,0,2
2020-03-15,Florida,other,5,100
2020-03-15,Florida,Miami-Dade,0,1
2020-03-15,Florida,Palm Beach,0,2
2020-03-15,Florida,Broward,3,3
2020-03-15,Georgia,other,4,100
2020-03-15,Georgia,other,0,6
2020-03-15,Georgia,Cobb,4,2
2020-03-15,Georgia,other,0,5
2020-03-15,Georgia,Dougherty,6,3
2020-03-15,Georgia,Fulton,3,1
2020-03-15,Georgia,other,1,4
2020-03-15,Indiana,other,1,100
